---
source: c:\EOTIR\EOTIR RPG\Directories\Copies\Copy of IR Court System - Court Directory.xlsx
category: in_game_documents/laws_policies
sheets: ['Class-A Federal Trial Court Sys', 'Class-A & C Federal Appellate C']
source_type: EOTIR RPG
extraction_date: 2025-05-03T15:31:07.418160
---

--- Sheet: Class-A Federal Trial Court Sys ---

Class-A Federal Trial Court System  Chief Judicator  Associate Justicator
         IR Capitol District Court              NaN                   NaN
        Coruscant Oversector Court              NaN                   NaN
             Kuat Oversector Court              NaN                   NaN
         Corellia Oversector Court              NaN                   NaN
         Colonies Oversector Court              NaN                   NaN
     Bright Jewel Oversector Court              NaN                   NaN
          Mid Rim Oversector Court              NaN                   NaN
        Outer Rim Oversector Court              NaN                   NaN
    Outer Rim North District Court              NaN                   NaN
    Outer Rim South District Court              NaN                   NaN
         Frontier Oversector Court              NaN                   NaN
        Expansion Oversector Court              NaN                   NaN
        Deep Core Oversector Court              NaN                   NaN
      Core Worlds Oversector Court              NaN                   NaN
           Outlaw Oversector Court              NaN                   NaN
          Braxant Oversector Court              NaN                   NaN
          Unknown Oversector Court              NaN                   NaN
       Wild Space Oversector Court              NaN                   NaN
      Allied Tion Oversector Court              NaN                   NaN
       Tingel Arm Oversector Court              NaN                   NaN
        IR Court of Federal Claims              NaN                   NaN

--- Sheet: Class-A & C Federal Appellate C ---

 Circut                         Class-A Federal Appellate Court System  Chief Judicator  Associate Justicator
      A                                       Region A Appellate Court              NaN                   NaN
  A-Sub                            IR Capitol District Appellate Court              NaN                   NaN
  A-Sub                           Coruscant Oversector Appellate Court              NaN                   NaN
  A-Sub                                Kuat Oversector Appellate Court              NaN                   NaN
      B                                       Region B Appellate Court              NaN                   NaN
  B-Sub                           Outer Rim Oversector Appellate Court              NaN                   NaN
 B-SubD                       Outer Rim North District Appellate Court              NaN                   NaN
 B-SubD                       Outer Rim South District Appellate Court              NaN                   NaN
  B-Sub                           Deep Core Oversector Appellate Court              NaN                   NaN
  B-Sub                         Core Worlds Oversector Appellate Court              NaN                   NaN
  B-Sub                             Unknown Oversector Appellate Court              NaN                   NaN
      C                              Region C Regional Appellate Court              NaN                   NaN
  C-Sub                        Bright Jewel Oversector Appellate Court              NaN                   NaN
  C-Sub                             Braxant Oversector Appellate Court              NaN                   NaN
  C-Sub                         Allied Tion Oversector Appellate Court              NaN                   NaN
  C-Sub                          Tingel Arm Oversector Appellate Court              NaN                   NaN
      D                                       Region D Appellate Court              NaN                   NaN
  D-Sub                            Frontier Oversector Appellate Court              NaN                   NaN
  D-Sub                           Expansion Oversector Appellate Court              NaN                   NaN
  D-Sub                              Outlaw Oversector Appellate Court              NaN                   NaN
  D-Sub                          Wild Space Oversector Appellate Court              NaN                   NaN
      E                                       Region E Appellate Court              NaN                   NaN
  E-Sub                            Corellia Oversector Appellate Court              NaN                   NaN
  E-Sub                            Colonies Oversector Appellate Court              NaN                   NaN
  E-Sub                             Mid Rim Oversector Appellate Court              NaN                   NaN
    FED                                Federal Circuit Appellate Court              NaN                   NaN
FED-Sub IR Galactic Federal Appellate Court (Claims/Class-C/Tribunals)              NaN                   NaN
FED-Sub                                   IR Military Court of Appeals              NaN                   NaN
FED-Sub            IR Class-B Noble Lands Territorial Court of Appeals              NaN                   NaN
