Forum,Title,Year,Status,Author,URL,Post Count,Date Extracted,Character Count
Blue_Scenario,Forum Open to All,Unknown,New,James Stratus,https://nexus.eotir.com/topic/1892-forum-open-to-all/,0,2025-05-03 20:06:39,170
Blue_Scenario,Signature Use in this Forum,Unknown,New,James Stratus,https://nexus.eotir.com/topic/638-signature-use-in-this-forum/,0,2025-05-03 20:06:39,189
Blue_Scenario,The King's Festival [36 IRY],36 IRY,New,James Stratus,https://nexus.eotir.com/topic/2471-the-kings-festival-36-iry/,0,2025-05-03 20:06:39,188
Palace_Situation_Room,Corruption and Incorruption [36 IRY],36 IRY,New,James Stratus,https://nexus.eotir.com/topic/2431-corruption-and-incorruption-36-iry/,0,2025-05-03 20:06:34,205
Palace_Situation_Room,Kumikaeru,Unknown,New,James Stratus,https://nexus.eotir.com/topic/2605-kumikaeru/,0,2025-05-03 20:06:34,154
Palace_Situation_Room,Military Command Shuffle [38 IRY],38 IRY,New,James Stratus,https://nexus.eotir.com/topic/2606-military-command-shuffle-38-iry/,0,2025-05-03 20:06:34,199
Red_Scenario,RS: The One That Gets Away [37 IRY] - Intro & Signup,37 IRY,New,James Stratus,https://nexus.eotir.com/topic/2559-rs-the-one-that-gets-away-37-iry-intro-signup/,2,2025-05-03 20:08:18,3722
Red_Scenario,RS: The One That Gets Away [37 IRY] - Intro & Signup,37 IRY,New,James Stratus,https://nexus.eotir.com/topic/2559-rs-the-one-that-gets-away-37-iry-intro-signup/,0,2025-05-03 20:06:37,232
Red_Scenario,RS: The Rebellion,Unknown,New,Unknown,https://nexus.eotir.com/topic/330-rs-the-rebellion/,5,2025-05-03 20:08:21,6969
Red_Scenario,Red Scenario,Unknown,New,James Stratus,https://nexus.eotir.com/tags/Red%20Scenario/,0,2025-05-03 20:06:37,156
Red_Scenario,Red Scenario Rules,Unknown,New,James Stratus,https://nexus.eotir.com/topic/168-red-scenario-rules/,2,2025-05-03 20:08:13,1503
